,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
312,Carauari,-4.88,-66.9,300.09,87,100,0.99,BR,1594570321
313,Winnemucca,40.97,-117.74,296.15,15,1,1.5,US,1594570321
314,Manggar,-2.88,108.27,300.53,81,99,6.35,ID,1594570321
315,Baculin,7.45,126.58,298.98,78,100,2.83,PH,1594570321
316,Fengcheng,40.45,124.07,293.19,77,94,1.13,CN,1594570321
317,Monrovia,6.3,-10.8,301.15,74,75,3.1,LR,1594570321
318,Safaga,26.73,33.94,310.15,22,25,9.3,EG,1594570322
319,Mayumba,-3.43,10.66,296.01,82,96,3.41,GA,1594570322
320,Clyde River,70.47,-68.59,280.15,93,90,4.6,CA,1594570322
321,Voh,-20.97,164.7,291.1,88,1,2.33,NC,1594570322
322,Quang Ngai,15.12,108.8,299.48,85,41,1.72,VN,1594570322
323,Gizo Government Station,-8.1,156.84,301.01,78,84,4.32,SB,1594570322
324,Kamenka,51.32,42.77,303.15,41,0,1.34,RU,1594570322
325,Doha,25.29,51.53,310.93,53,14,3.1,QA,1594570323
326,Dayong,25.02,118.29,303.15,79,97,2.0,CN,1594570323
327,Hobyo,5.35,48.53,300.15,74,61,11.45,SO,1594570323
328,Buchanan,5.88,-10.05,301.15,74,75,3.1,LR,1594570323
329,Rawson,-43.3,-65.1,279.83,56,0,11.88,AR,1594570323
330,Tessalit,20.2,1.01,312.99,16,59,4.25,ML,1594570323
331,Faanui,-16.48,-151.75,298.88,78,100,7.26,PF,1594570323
332,Xining,36.62,101.77,287.44,67,17,0.47,CN,1594570195
333,Viedma,-40.81,-63.0,281.69,50,0,10.07,AR,1594570323
334,St. George's,12.06,-61.75,304.15,70,40,8.7,GD,1594570323
335,Lyuban',52.8,28.0,285.74,92,100,3.07,BY,1594570324
336,Ballina,-28.87,153.57,287.59,93,40,3.27,AU,1594570324
337,Mount Isa,-20.73,139.5,284.15,43,0,4.6,AU,1594570324
338,Adrar,20.5,-10.07,312.46,21,19,2.09,MR,1594570324
339,Two Rivers,44.15,-87.57,294.82,64,90,4.6,US,1594570236
340,Ternate,0.8,127.4,300.05,76,100,0.2,ID,1594570325
341,Micheweni,-4.97,39.83,298.16,78,0,5.6,TZ,1594570325
342,Hauterive,46.09,3.45,301.15,30,0,2.6,FR,1594570325
343,Brownsburg,39.84,-86.4,297.59,69,75,3.1,US,1594570163
344,Yudong,29.39,106.52,297.15,100,40,2.0,CN,1594570325
345,Tefé,-3.35,-64.71,301.15,88,40,3.1,BR,1594570325
346,Olafsvik,64.89,-23.71,284.14,77,87,4.78,IS,1594570325
347,Vidisha,23.53,77.82,297.15,94,75,4.1,IN,1594570325
348,Greenfield,42.96,-88.01,297.04,64,40,5.7,US,1594570026
349,Yining,29.04,114.56,298.03,89,100,1.04,CN,1594570326
350,Ust-Maya,60.42,134.53,290.0,78,4,1.49,RU,1594570326
351,Avera,33.19,-82.53,304.15,55,1,2.6,US,1594570326
352,Andenes,69.31,16.12,285.15,76,75,1.5,NO,1594570326
353,Turukhansk,65.82,87.98,286.09,79,47,1.39,RU,1594570326
354,Znamenka,52.42,41.43,297.14,63,0,2.3,RU,1594570326
355,Tadine,-21.55,167.88,294.87,82,73,7.5,NC,1594570326
356,Sambava,-14.27,50.17,295.41,83,1,5.17,MG,1594570327
357,Oxelösund,58.67,17.1,292.15,48,92,6.2,SE,1594570327
358,Fairbanks,64.84,-147.72,284.82,71,90,3.1,US,1594570327
359,El Carmen,8.51,-73.45,298.78,74,87,0.85,CO,1594570327
360,Cascais,38.7,-9.42,305.15,45,11,3.1,PT,1594570327
361,Valdivia,-39.81,-73.25,280.15,100,90,1.0,CL,1594570327
362,Newport,51.59,-3.0,295.93,44,43,0.89,GB,1594570327
363,Nelson Bay,-32.72,152.15,284.26,100,90,2.6,AU,1594570327
364,São Gabriel da Cachoeira,-0.13,-67.09,299.76,82,97,0.81,BR,1594570327
365,Sur,22.57,59.53,304.06,66,67,6.4,OM,1594570328
366,Yoichi,43.2,140.77,290.93,96,0,2.12,JP,1594570328
